"alpha_hat","beta_1_hat","beta_2_hat","alpha_se","beta_1_se","beta_2_se","method","n_obs","p_c","alpha","beta_1","beta_2","model","index"
0.762450129033873,0.229083523316629,-0.29469498382076,0.185253023530613,0.0957760652327846,0.103649895771793,"itt",200,0.8,1,0.5,-0.7,"logit",1
1.38117022369328,0.346628129602176,-0.642550639047865,0.213715915440961,0.101472168532775,0.110255418213382,"pp",200,0.8,1,0.5,-0.7,"logit",1
1.62566465356098,0.656340544695412,-1.43649079748581,0.55446022262069,0.353839258910477,0.682033495680333,"iv",200,0.8,1,0.5,-0.7,"logit",1
0.564154843026687,0.358448556918083,-0.510792356434317,0.186936038673663,0.0918483387736053,0.0945670202570278,"itt",200,0.8,1,0.5,-0.7,"logit",2
1.18632722876447,0.379896027604093,-0.74711579259416,0.2147552122423,0.106886654421972,0.102326180911544,"pp",200,0.8,1,0.5,-0.7,"logit",2
0.953817811535856,0.343597379046707,-1.02596154275811,0.324471652985511,0.17576808896934,0.242640053590035,"iv",200,0.8,1,0.5,-0.7,"logit",2
0.875420155789655,0.519489928024663,-0.594764542546445,0.186469748544603,0.0928823678275651,0.0846933213587814,"itt",200,0.8,1,0.5,-0.7,"logit",3
1.24177030675778,0.662414010785687,-0.627682682532798,0.193656776081092,0.105130979310615,0.0910287834439633,"pp",200,0.8,1,0.5,-0.7,"logit",3
1.3486935606546,0.865065547402097,-0.647025043688053,0.280474128318407,0.203405418773793,0.124005507041942,"iv",200,0.8,1,0.5,-0.7,"logit",3
0.727287590970009,0.261354959667913,-0.371827729039388,0.184501337511878,0.0834214452737313,0.100616714401722,"itt",200,0.8,1,0.5,-0.7,"logit",4
1.27388541473613,0.437539696410955,-0.483033922770845,0.22123762823008,0.0931902944385295,0.118028749109742,"pp",200,0.8,1,0.5,-0.7,"logit",4
1.03581445817726,0.558168887567678,-0.557101311118962,0.252114763431426,0.137713174144692,0.162513237325362,"iv",200,0.8,1,0.5,-0.7,"logit",4
0.719201078910294,0.270700858312047,-0.421328916980839,0.183850275752201,0.0781670565650088,0.0954392866681534,"itt",200,0.8,1,0.5,-0.7,"logit",5
1.24970220951719,0.384547731248566,-0.563061466012168,0.212231417871885,0.0894574002883405,0.105440864290062,"pp",200,0.8,1,0.5,-0.7,"logit",5
1.12950473517329,0.486206345964659,-0.712680200433425,0.28220634154464,0.1292226997735,0.171050041809543,"iv",200,0.8,1,0.5,-0.7,"logit",5
0.55504080404322,0.268231036498932,-0.449191244368193,0.180496042760315,0.0960633023465998,0.094534431543563,"itt",200,0.8,1,0.5,-0.7,"logit",6
1.04100073663128,0.385389174932577,-0.625798405125915,0.189601212573397,0.102588069358284,0.110902779600366,"pp",200,0.8,1,0.5,-0.7,"logit",6
0.815743629048455,0.505998454001034,-0.761179933336773,0.24961098269093,0.154148284622872,0.188474219893425,"iv",200,0.8,1,0.5,-0.7,"logit",6
0.210448495706358,0.486607859451942,-0.26880872909371,0.174309543160003,0.0891958186505791,0.0914669313327084,"itt",200,0.8,1,0.5,-0.7,"logit",7
0.797809123304723,0.535410101793532,-0.435400256794695,0.201892313077718,0.105199041824757,0.100776528825009,"pp",200,0.8,1,0.5,-0.7,"logit",7
0.464190933693158,0.646122518105019,-0.564017618660143,0.277155420369264,0.168231111221635,0.167392119518933,"iv",200,0.8,1,0.5,-0.7,"logit",7
0.858712839239105,0.210721595469566,-0.343526424337528,0.180104991291771,0.0894974013138884,0.102754258866431,"itt",200,0.8,1,0.5,-0.7,"logit",8
